link_id,from_node_id,to_node_id,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,geometry,macro_link_id,macro_node_id,movement_id,mvmt_txt_id,ctrl_type,allowed_uses
0,0,102,1,229.95,1,2300,120,motorway,1,"LINESTRING (-112.1149177 33.6421616, -112.1149666 33.6422813, -112.1150283 33.6424543, -112.1150871 33.6426574, -112.1151228 33.6428195, -112.1151355 33.6429249, -112.1151465 33.6430133, -112.1151575 33.6431437, -112.1151625 33.6434665, -112.1151462 33.6437758, -112.1151734 33.6442104)",0,,,,,auto
1,200,300,1,252.97,2,2300,120,motorway,1,"LINESTRING (-112.1158543 33.6350062, -112.1157912 33.6352773, -112.1157605 33.6356867, -112.1157233 33.6360646, -112.1156541 33.6366448, -112.1155806 33.6370543, -112.1155221 33.6372677)",1,,,,,auto
2,402,500,1,239.2,1,2300,120,motorway,1,"LINESTRING (-112.1154566 33.6442135, -112.1155568 33.6438109, -112.1156093 33.6431796, -112.1156202 33.6429884, -112.1156511 33.6428258, -112.1157045 33.6426299, -112.1157723 33.6424387, -112.1159042 33.6421664, -112.1159394 33.6421105)",2,,,,,auto
3,600,701,1,733.45,1,2300,80,motorway,1,"LINESTRING (-112.2319403 33.6554560, -112.2319576 33.6564052, -112.2319689 33.6585665, -112.2319650 33.6587546, -112.2319611 33.6589426, -112.2319368 33.6592014, -112.2319131 33.6593998, -112.2318777 33.6596257, -112.2318269 33.6599115, -112.2317357 33.6603312, -112.2316116 33.6607556, -112.2314927 33.6611406, -112.2314214 33.6613265, -112.2313361 33.6615245, -112.2311982 33.6619966)",3,,,,,auto
4,801,276300,1,70.91,4,1800,64,primary,3,"LINESTRING (-112.0819158 33.6402995, -112.0821322 33.6402985, -112.0826805 33.6402960)",4,,,,,auto
5,276400,1200,1,105.6,3,1600,60,secondary,4,"LINESTRING (-112.0831229 33.6691769, -112.0837915 33.6691672, -112.0838640 33.6691677, -112.0842619 33.6691702)",6,,,,,auto
6,1300,1400,1,333.89,2,1600,60,secondary,4,"LINESTRING (-112.0750060 33.6547680, -112.0760326 33.6547550, -112.0769457 33.6547450, -112.0771490 33.6547428, -112.0776511 33.6547373, -112.0779440 33.6547330, -112.0786066 33.6547238)",7,,,,,auto
7,1401,1301,1,333.87,2,1600,60,secondary,4,"LINESTRING (-112.0786047 33.6546291, -112.0779420 33.6546384, -112.0776493 33.6546427, -112.0771476 33.6546482, -112.0769443 33.6546504, -112.0760310 33.6546604, -112.0750043 33.6546733)",8,,,,,auto
8,1500,1600,1,346.67,1,1600,72,secondary,4,"LINESTRING (-111.9751777 33.6686609, -111.9750014 33.6686640, -111.9745898 33.6686524, -111.9738894 33.6686194, -111.9733990 33.6685672, -111.9730293 33.6685221, -111.9725841 33.6684578, -111.9723612 33.6684221, -111.9718845 33.6683272, -111.9717647 33.6683015, -111.9716131 33.6682675, -111.9714857 33.6682373)",9,,,,,auto
9,1601,1501,1,348.75,1,1600,72,secondary,4,"LINESTRING (-111.9714651 33.6682980, -111.9715931 33.6683283, -111.9717455 33.6683625, -111.9718663 33.6683884, -111.9723454 33.6684839, -111.9725705 33.6685200, -111.9730175 33.6685845, -111.9733888 33.6686298, -111.9738826 33.6686824, -111.9745864 33.6687154, -111.9750010 33.6687272, -111.9751793 33.6687241)",10,,,,,auto
10,1701,1800,1,1116.58,4,2300,104,motorway,1,"LINESTRING (-112.1133511 33.6688513, -112.1143726 33.6688514, -112.1176034 33.6688513, -112.1189996 33.6688610, -112.1208828 33.6688535, -112.1219093 33.6688503, -112.1226659 33.6688491, -112.1253955 33.6688480)",11,,,,,auto
11,1901,2002,1,499.05,3,2300,104,motorway,1,"LINESTRING (-112.1133631 33.6686404, -112.1128200 33.6686427, -112.1124010 33.6686445, -112.1114247 33.6686438, -112.1110683 33.6686472, -112.1106354 33.6686481, -112.1103278 33.6686466, -112.1100380 33.6686452, -112.1095672 33.6686476, -112.1090584 33.6686450, -112.1079804 33.6686182)",12,,,,,auto
12,2102,2200,1,101.61,2,2300,120,motorway,1,"LINESTRING (-112.1170258 33.6389289, -112.1168865 33.6387719, -112.1166717 33.6384491, -112.1165704 33.6382679, -112.1164982 33.6381289)",13,,,,,auto
13,2301,276500,1,29.24,3,1600,60,secondary,4,"LINESTRING (-112.1127979 33.6620278, -112.1131130 33.6620183)",14,,,,,auto
14,2501,2600,1,267.78,1,2300,120,motorway,1,"LINESTRING (-112.1146322 33.6579233, -112.1146523 33.6572450, -112.1146682 33.6569199, -112.1147043 33.6564328, -112.1147549 33.6557976, -112.1147698 33.6555112)",15,,,,,auto
15,2701,2800,1,184.03,1,2300,120,motorway,1,"LINESTRING (-112.1151076 33.6533051, -112.1150624 33.6530893, -112.1150602 33.6525401, -112.1150568 33.6520941, -112.1150561 33.6518422, -112.1150616 33.6516485)",16,,,,,auto
