node_id,zone_id,x_coord,y_coord,macro_node_id,macro_link_id,activity_type,is_boundary,scc_id
0,,-112.1149177,33.6421616,0,,,,0
200,,-112.1158543,33.6350062,2,,,,350
300,,-112.1155221,33.6372677,3,,,,349
500,,-112.1159394,33.6421105,5,,,,0
600,,-112.2319403,33.655456,6,,,,0
276300,,-112.0826805,33.640296,2763,,,,0
276400,,-112.0831229,33.6691769,2764,,,,0
1200,,-112.0842619,33.6691702,12,,,,0
1300,,-112.075006,33.654768,13,,,,0
1400,,-112.0786066,33.6547238,14,,,,0
1401,,-112.0786047,33.6546291,14,,,,0
1301,,-112.0750043,33.6546733,13,,,,0
1500,,-111.9751777,33.6686609,15,,,,0
1600,,-111.9714857,33.6682373,16,,,,0
1601,,-111.9714651,33.668298,16,,,,0
1501,,-111.9751793,33.6687241,15,,,,0
1800,,-112.1253955,33.668848,18,,,,0
2200,,-112.1164982,33.6381289,22,,,,40
276500,,-112.113113,33.6620183,2765,,,,0
2600,,-112.1147698,33.6555112,26,,,,0
2800,,-112.1150616,33.6516485,28,,,,0
3000,,-112.1143266,33.6522861,30,,,,0
3100,,-112.1143959,33.6522911,31,,,,0
3300,,-112.1122441,33.6744149,33,,,,2
3500,,-112.1141082,33.6658667,35,,,,355
3600,,-112.1086361,33.6620999,36,,,,0
3700,,-112.108574,33.6628907,37,,,,0
3701,,-112.1086685,33.6628548,37,,,,0
3601,,-112.1086949,33.6621826,36,,,,0
3800,,-112.0000011,33.6644904,38,,,,0
3900,,-111.9999728,33.6641841,39,,,,0
4100,,-111.9956568,33.6727684,41,,,,0
4300,,-111.9777616,33.6726482,43,,,,0
4301,,-111.9776155,33.67278,43,,,,0
4400,,-111.9775681,33.6728441,44,,,,0
4700,,-111.9772225,33.6718508,47,,,,0
4900,,-111.9770708,33.67328,49,,,,0
4901,,-111.9772234,33.6731528,49,,,,0
5000,,-111.9772482,33.6731287,50,,,,0
5300,,-111.977602,33.6739981,53,,,,359
5400,,-111.9598142,33.6671508,54,,,,135
5501,,-111.9594422,33.6670088,55,,,,134
5600,,-111.9591672,33.6669038,56,,,,133
5700,,-111.9603212,33.6686288,57,,,,0
6000,,-112.0288056,33.6730625,60,,,,0
6200,,-112.0308435,33.6724888,62,,,,0
6400,,-112.0309509,33.6718513,64,,,,0
6500,,-112.0308195,33.672178,65,,,,0
6700,,-112.0312171,33.6727251,67,,,,0
7000,,-112.1127437,33.6675484,70,,,,0
7200,,-112.1266182,33.6685326,72,,,,0
7600,,-112.114177,33.667088,76,,,,0
7800,,-112.1141299,33.6709881,78,,,,368
8200,,-112.2230471,33.6671862,82,,,,0
8400,,-112.0342273,33.671875,84,,,,0
8600,,-112.0341905,33.6711096,86,,,,0
8800,,-112.0311745,33.6720803,88,,,,0
8801,,-112.0310873,33.6721829,88,,,,0
8900,,-112.0310409,33.6722692,89,,,,0
9100,,-112.0309519,33.67213,91,,,,0
9101,,-112.031005,33.6722479,91,,,,0
8901,,-112.031021,33.6722702,89,,,,0
8902,,-112.0310464,33.6722991,89,,,,0
9200,,-112.0310775,33.6723282,92,,,,0
9201,,-112.0311725,33.6724262,92,,,,0
9400,,-112.0618338,33.6693494,94,,,,0
9600,,-112.0629031,33.6686261,96,,,,0
9800,,-112.0698384,33.669226,98,,,,0
10000,,-112.0708611,33.6685861,100,,,,0
10200,,-112.0799299,33.6683427,102,,,,0
10400,,-112.0787959,33.6690759,104,,,,0
10500,,-112.0858826,33.6691597,105,,,,0
10700,,-112.0855812,33.6684346,107,,,,0
10900,,-112.0975381,33.6700459,109,,,,0
11100,,-112.0966179,33.6692783,111,,,,0
11300,,-112.1127659,33.6681923,113,,,,0
11500,,-112.1214805,33.6691622,115,,,,0
11900,,-112.1373136,33.6699928,119,,,,0
12100,,-112.1373779,33.6692113,121,,,,0
12300,,-112.1651089,33.6693414,123,,,,0
12400,,-112.1651008,33.6687083,124,,,,0
12600,,-112.1734069,33.6687033,126,,,,0
12900,,-112.1724593,33.6679779,129,,,,0
13100,,-112.1844875,33.6687079,131,,,,0
13200,,-112.1829477,33.6679909,132,,,,0
13500,,-112.1884613,33.6686636,135,,,,0
13700,,-112.1894861,33.6677145,137,,,,0
13900,,-112.2004318,33.6685135,139,,,,0
14100,,-112.2012103,33.6675786,141,,,,0
14500,,-112.2055144,33.667407,145,,,,0
14700,,-112.2179531,33.6682489,147,,,,0
14900,,-112.2180989,33.6673644,149,,,,0
276600,,-112.1145572,33.6617669,2766,,,,0
15200,,-112.1145581,33.6615338,152,,,,0
15300,,-112.1132653,33.6622174,153,,,,254
15400,,-112.1132461,33.663651,154,,,,253
276700,,-112.1085263,33.6694943,2767,,,,67
15600,,-112.1085767,33.670258,156,,,,66
15800,,-112.1085192,33.6683904,158,,,,0
16300,,-112.1140541,33.6622898,163,,,,357
16500,,-112.1131542,33.6695911,165,,,,6
3402,,-112.1136299,33.6677637,34,,,,358
16700,,-112.1131171,33.6700477,167,,,,5
3201,,-112.1130228,33.6711348,32,,,,4
16601,,-112.1135228,33.6692548,166,,,,371
16801,,-112.113492,33.6696388,168,,,,372
17300,,-112.1066316,33.6684418,173,,,,0
17500,,-112.1175679,33.6692946,175,,,,0
17801,,-112.1149118,33.6673321,178,,,,0
18000,,-112.1171996,33.6691422,180,,,,0
18100,,-112.1171581,33.6658871,181,,,,0
18200,,-112.1171659,33.6661175,182,,,,0
17601,,-112.1175847,33.6693558,176,,,,367
18300,,-112.1143716,33.6653793,183,,,,354
18400,,-112.1145561,33.6626398,184,,,,353
18600,,-112.1134576,33.6620176,186,,,,0
276601,,-112.1146742,33.6620234,2766,,,,0
18700,,-112.115014,33.6620171,187,,,,0
18800,,-112.1132918,33.6657967,188,,,,252
16001,,-112.1132437,33.6677427,160,,,,251
17001,,-112.1138141,33.6707322,170,,,,369
18900,,-112.1263091,33.6688539,189,,,,0
19100,,-112.1266113,33.6689277,191,,,,0
19300,,-112.1253857,33.6686179,193,,,,0
19400,,-112.1157304,33.6686308,194,,,,0
19500,,-112.1253772,33.6684565,195,,,,0
19600,,-112.1238637,33.6684138,196,,,,0
19800,,-112.1148488,33.6542816,198,,,,0
2801,,-112.1150546,33.6516482,28,,,,0
20200,,-112.1146873,33.6542835,202,,,,0
20400,,-112.1143381,33.6551461,204,,,,0
16201,,-112.1133087,33.6677366,162,,,,9
20601,,-112.1141841,33.6551465,206,,,,0
21000,,-112.0008204,33.6712721,210,,,,0
21100,,-112.0027632,33.6725567,211,,,,0
21200,,-112.0078535,33.6730057,212,,,,0
21300,,-111.9988328,33.6712534,213,,,,0
21400,,-112.0000869,33.6657819,214,,,,0
21600,,-111.9998076,33.6697205,216,,,,0
21501,,-111.9996075,33.6691153,215,,,,0
22200,,-111.999551,33.664129,222,,,,0
22600,,-112.0134328,33.6728942,226,,,,0
22800,,-112.0092637,33.6727372,228,,,,0
23000,,-112.0086342,33.6729831,230,,,,0
22501,,-112.0106254,33.6729328,225,,,,0
23200,,-112.0088362,33.6729396,232,,,,0
23101,,-112.0094121,33.6729425,231,,,,0
23300,,-112.0084609,33.6727335,233,,,,0
23500,,-112.0086019,33.6729369,235,,,,0
23700,,-112.0051633,33.6722514,237,,,,0
23800,,-112.0077671,33.6727107,238,,,,0
23900,,-112.0043868,33.6722998,239,,,,0
24300,,-111.9767186,33.6728633,243,,,,0
24400,,-111.9705019,33.6722552,244,,,,0
24500,,-111.9660194,33.6705405,245,,,,0
24001,,-111.9781817,33.6730842,240,,,,0
25000,,-112.1158063,33.6395761,250,,,,332
25100,,-112.1160578,33.6363752,251,,,,37
25200,,-112.1161591,33.635062,252,,,,36
25400,,-112.1154991,33.640215,254,,,,374
20301,,-112.1144026,33.6542695,203,,,,0
25700,,-112.2319594,33.6528357,257,,,,300
25900,,-112.168937,33.6682995,259,,,,0
26001,,-112.1696776,33.6684952,260,,,,0
26300,,-112.1404982,33.669748,263,,,,0
26201,,-112.1349376,33.6693655,262,,,,0
26600,,-112.1342852,33.668978,266,,,,0
7101,,-112.1283551,33.6686284,71,,,,0
7901,,-112.1067576,33.6688529,79,,,,0
26801,,-112.1002882,33.6694528,268,,,,0
27000,,-112.1058244,33.6691499,270,,,,0
27200,,-112.0994571,33.6692973,272,,,,0
27500,,-112.0994525,33.6693382,275,,,,0
27700,,-112.0661564,33.6688224,277,,,,0
26901,,-112.0993548,33.6695774,269,,,,0
27900,,-112.0710547,33.6689908,279,,,,0
28100,,-112.0708615,33.6691529,281,,,,0
28200,,-112.0708948,33.6691507,282,,,,0
28201,,-112.071058,33.6691395,282,,,,0
28500,,-112.0703668,33.6683906,285,,,,0
28700,,-112.0497937,33.6685525,287,,,,0
28800,,-112.070324,33.6685515,288,,,,0
28900,,-112.0686523,33.6684344,289,,,,0
27601,,-112.0701673,33.6687785,276,,,,0
29200,,-112.0741954,33.669225,292,,,,0
29101,,-112.0709264,33.6693232,291,,,,0
29500,,-112.082803,33.6690462,295,,,,0
276401,,-112.0827964,33.6692965,2764,,,,0
29600,,-112.0828027,33.6696816,296,,,,0
27801,,-112.0701848,33.6690017,278,,,,0
29701,,-112.0661604,33.6690483,297,,,,0
29900,,-112.0650454,33.6688437,299,,,,0
30000,,-112.0577193,33.6689822,300,,,,0
30100,,-112.0487045,33.6689131,301,,,,0
9301,,-112.0584313,33.6692061,93,,,,0
30201,,-112.0489322,33.6691345,302,,,,0
30400,,-112.0481247,33.6688999,304,,,,0
8501,,-112.0384995,33.6698119,85,,,,0
30500,,-112.0386118,33.6700155,305,,,,0
30301,,-112.0481315,33.6691255,303,,,,0
30700,,-112.0315183,33.6722882,307,,,,0
30900,,-112.0304717,33.672262,309,,,,0
22701,,-112.0104751,33.6727217,227,,,,0
30601,,-112.0304365,33.6724975,306,,,,0
31200,,-112.0140185,33.6728854,312,,,,0
31101,,-112.0134338,33.672683,311,,,,0
31400,,-112.0032815,33.6406697,314,,,,0
31500,,-112.0033002,33.6406762,315,,,,0
31501,,-112.0034596,33.6407258,315,,,,0
31800,,-111.9996853,33.6552126,318,,,,0
31900,,-112.0024323,33.6406116,319,,,,0
32300,,-112.0031018,33.638756,323,,,,381
32600,,-112.0029306,33.6421388,326,,,,0
32800,,-112.0004386,33.655117,328,,,,0
32900,,-111.9997956,33.6551869,329,,,,0
33700,,-111.9997708,33.6540027,337,,,,0
33800,,-112.0004067,33.6553828,338,,,,0
34000,,-111.9997281,33.6644264,340,,,,0
33901,,-111.9997084,33.664123,339,,,,0
34201,,-111.9997813,33.6632016,342,,,,0
34101,,-111.9996756,33.663139,341,,,,0
34600,,-111.9932535,33.6725787,346,,,,0
33502,,-111.9995072,33.6558735,335,,,,0
34800,,-111.9995296,33.6581648,348,,,,0
35000,,-112.0000126,33.65502,350,,,,0
35100,,-112.0002378,33.6552693,351,,,,0
35101,,-111.9999966,33.6552144,351,,,,0
35500,,-112.0026704,33.6404405,355,,,,378
35501,,-112.0027627,33.6405329,355,,,,377
35600,,-112.0028145,33.6405808,356,,,,376
35800,,-112.0031674,33.6408867,358,,,,0
